model,classifier,fs_config,accuracy,sensitivity,specificity,f1,auc,TP,TN,FP,FN,accuracy_ci_low,accuracy_ci_high,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,f1_ci_low,f1_ci_high,auc_ci_low,auc_ci_high
DenseNet121,LDA,ANOVA10,0.8125,0.6207,0.9216,0.7059,0.8032,18,47,4,11,0.7349,0.8901,0.4052,0.8215,0.8673,0.9763,0.5185,0.8657,0.6936,0.9228
DenseNet121,SVM_linear_C0.1,ANOVA200_PCA5,0.8000,0.4828,0.9804,0.6364,0.7444,14,50,1,15,0.6725,0.9275,0.1443,0.8024,0.9313,1.0000,0.2859,0.9120,0.6245,0.9064
DenseNet121,SVM_linear_C0.1,ANOVA100_PCA5,0.8000,0.4828,0.9804,0.6364,0.7424,14,50,1,15,0.6725,0.9275,0.1443,0.8024,0.9313,1.0000,0.2859,0.9120,0.6190,0.8986
DenseNet121,LogReg_C10,ANOVA10,0.7875,0.6897,0.8431,0.7018,0.7836,20,43,8,9,0.7181,0.8569,0.4598,0.9002,0.7791,0.9082,0.5168,0.8582,0.6679,0.9145
ResNet50,LogReg_C0.1,ANOVA200_PCA10,0.7875,0.6897,0.8431,0.7018,0.7410,20,43,8,9,0.6990,0.8760,0.5293,0.8573,0.7037,0.9836,0.5902,0.8146,0.6268,0.8629
DenseNet121,LogReg_C1,ANOVA10,0.7750,0.6207,0.8627,0.6667,0.7620,18,44,7,11,0.6573,0.8927,0.4052,0.8215,0.7560,0.9713,0.4528,0.8632,0.6355,0.9003
ResNet50,LogReg_C1,ANOVA100_PCA10,0.7625,0.6897,0.8039,0.6780,0.7437,20,41,10,9,0.6474,0.8776,0.5293,0.8573,0.6512,0.9560,0.5423,0.8210,0.6438,0.8659
ResNet50,LogReg_C0.1,ANOVA100_PCA10,0.7625,0.6552,0.8235,0.6667,0.7417,19,42,9,10,0.6350,0.8900,0.4628,0.8572,0.6883,0.9590,0.4990,0.8378,0.6043,0.8988
ResNet50,LogReg_C0.1,PCA5,0.7625,0.6207,0.8431,0.6545,0.7701,18,43,8,11,0.6350,0.8900,0.3941,0.8459,0.7138,0.9771,0.4368,0.8599,0.6711,0.8786
ResNet50,SVM_C0.1,PCA10,0.7625,0.6207,0.8431,0.6545,0.7606,18,43,8,11,0.6613,0.8637,0.4479,0.7921,0.6370,1.0000,0.5374,0.7741,0.6790,0.8997
ResNet50,LDA,ANOVA100_PCA10,0.7625,0.6207,0.8431,0.6545,0.7397,18,43,8,11,0.6132,0.9118,0.4479,0.7921,0.7037,0.9836,0.4516,0.8612,0.6193,0.8455
ResNet50,SVM_C0.1,ANOVA100_PCA10,0.7625,0.5862,0.8627,0.6415,0.7485,17,44,7,12,0.6976,0.8274,0.4072,0.7661,0.6993,1.0000,0.5566,0.7207,0.6473,0.9375
DenseNet121,SVM_linear_C1,ANOVA20,0.7625,0.4483,0.9412,0.5778,0.7877,13,48,3,16,0.7278,0.7972,0.2720,0.6213,0.8757,1.0000,0.4409,0.6900,0.6802,0.9010
ResNet50,LogReg_C1,PCA5,0.7500,0.6897,0.7843,0.6667,0.7701,20,40,11,9,0.5948,0.9052,0.4112,0.9621,0.5759,0.9987,0.4206,0.8952,0.6527,0.9158
ResNet50,LogReg_C10,ANOVA100_PCA10,0.7500,0.6897,0.7843,0.6667,0.7458,20,40,11,9,0.6550,0.8450,0.5293,0.8573,0.6162,0.9584,0.5484,0.7883,0.6467,0.8563
ResNet50,LogReg_C0.1,ANOVA100_PCA5,0.7500,0.6552,0.8039,0.6552,0.7492,19,41,10,10,0.6403,0.8597,0.4628,0.8572,0.7153,0.8920,0.5024,0.8053,0.6068,0.9059
ResNet50,LDA,ANOVA200_PCA10,0.7500,0.6207,0.8235,0.6429,0.7120,18,42,9,11,0.6048,0.8952,0.4479,0.7921,0.6883,0.9590,0.4448,0.8437,0.5853,0.8522
DenseNet121,LogReg_C1,ANOVA20,0.7500,0.5862,0.8431,0.6296,0.7681,17,43,8,12,0.6273,0.8727,0.3222,0.8378,0.7791,0.9082,0.3835,0.8452,0.6339,0.9151
ResNet50,SVM_linear_C0.1,PCA5,0.7500,0.3793,0.9608,0.5238,0.7417,11,49,2,18,0.6951,0.8049,0.1575,0.5892,0.8968,1.0000,0.3087,0.6965,0.6037,0.8860
ResNet50,LogReg_C1,ANOVA200_PCA5,0.7375,0.6552,0.7843,0.6441,0.7546,19,40,11,10,0.6525,0.8225,0.4144,0.9056,0.6779,0.8893,0.4778,0.7909,0.5727,0.9104
ResNet50,LogReg_C0.1,ANOVA200_PCA5,0.7375,0.6552,0.7843,0.6441,0.7505,19,40,11,10,0.6224,0.8526,0.4144,0.9056,0.6888,0.8821,0.4431,0.8297,0.6051,0.9191
ResNet50,LogReg_C1,ANOVA200_PCA10,0.7375,0.6552,0.7843,0.6441,0.7262,19,40,11,10,0.6100,0.8650,0.5278,0.7922,0.5984,0.9688,0.5177,0.7861,0.5901,0.8523
ResNet50,LogReg_C0.1,PCA10,0.7375,0.5862,0.8235,0.6182,0.7235,17,42,9,12,0.6224,0.8526,0.3697,0.8170,0.6271,1.0000,0.4602,0.7727,0.6606,0.8152
ResNet50,LogReg_C0.1,ANOVA10,0.7375,0.5862,0.8235,0.6182,0.6951,17,42,9,12,0.5693,0.9057,0.2434,0.9300,0.7151,0.9285,0.2940,0.9026,0.4772,0.9355
DenseNet121,LogReg_C0.1,ANOVA200_PCA5,0.7375,0.5517,0.8431,0.6038,0.7539,16,43,8,13,0.6100,0.8650,0.2200,0.8733,0.7791,0.9082,0.3230,0.8336,0.6411,0.8747
DenseNet121,LogReg_C0.1,PCA5,0.7375,0.5517,0.8431,0.6038,0.7404,16,43,8,13,0.5882,0.8868,0.1887,0.9046,0.7791,0.9082,0.2656,0.8821,0.6192,0.8626
ResNet50,LDA,ANOVA100_PCA5,0.7375,0.5517,0.8431,0.6038,0.7302,16,43,8,13,0.5882,0.8868,0.3406,0.7528,0.7037,0.9836,0.3736,0.8260,0.5747,0.8969
ResNet50,SVM_C0.1,ANOVA10,0.7375,0.5517,0.8431,0.6038,0.7295,16,43,8,13,0.6224,0.8526,0.2455,0.8611,0.7037,0.9836,0.3249,0.8294,0.6496,0.8510
ResNet50,LDA,PCA5,0.7375,0.5172,0.8627,0.5882,0.7478,15,44,7,14,0.6224,0.8526,0.3246,0.7021,0.6857,1.0000,0.3981,0.7681,0.6290,0.8801
DenseNet121,LDA,ANOVA100_PCA5,0.7375,0.4828,0.8824,0.5714,0.7417,14,45,6,15,0.6726,0.8024,0.1481,0.8119,0.7514,1.0000,0.2978,0.7686,0.6317,0.8846
ResNet50,LDA,ANOVA200_PCA5,0.7375,0.4828,0.8824,0.5714,0.7343,14,45,6,15,0.5882,0.8868,0.1821,0.7779,0.7249,1.0000,0.2600,0.8357,0.5809,0.8900
ResNet50,RF_100,ANOVA10,0.7375,0.4828,0.8824,0.5714,0.7042,14,45,6,15,0.5882,0.8868,0.2066,0.7668,0.7194,1.0000,0.2830,0.8300,0.5183,0.9381
ResNet50,RF_100,PCA5,0.7375,0.4483,0.9020,0.5532,0.6805,13,46,5,16,0.6363,0.8387,0.2720,0.6213,0.7671,1.0000,0.3708,0.7245,0.5410,0.8027
DenseNet121,SVM_linear_C0.1,PCA5,0.7375,0.3793,0.9412,0.5116,0.7194,11,48,3,18,0.6363,0.8387,0.0597,0.6736,0.8757,1.0000,0.1125,0.8229,0.6050,0.8786
DenseNet121,SVM_linear_C1,ANOVA100_PCA5,0.7375,0.3103,0.9804,0.4615,0.6991,9,50,1,20,0.6224,0.8526,0.0048,0.6085,0.9313,1.0000,0.0490,0.7853,0.5377,0.8502
ResNet50,LogReg_C10,ANOVA200_PCA10,0.7250,0.6897,0.7451,0.6452,0.6856,20,38,13,9,0.6209,0.8291,0.5293,0.8573,0.5481,0.9464,0.5534,0.7418,0.5892,0.7532
ResNet50,LogReg_C1,ANOVA100_PCA5,0.7250,0.6552,0.7647,0.6333,0.7397,19,39,12,10,0.6073,0.8427,0.4628,0.8572,0.6909,0.8364,0.4756,0.7896,0.5699,0.9216
ResNet50,LogReg_C1,PCA10,0.7250,0.6552,0.7647,0.6333,0.7011,19,39,12,10,0.6209,0.8291,0.5278,0.7922,0.6134,0.9211,0.5193,0.7549,0.6173,0.7973
ResNet50,LogReg_C10,PCA5,0.7250,0.6207,0.7843,0.6207,0.7573,18,40,11,11,0.5641,0.8859,0.3941,0.8459,0.5124,1.0000,0.4333,0.8078,0.6470,0.8742
ResNet50,SVM_C0.1,ANOVA200_PCA5,0.7250,0.5862,0.8039,0.6071,0.7539,17,41,10,12,0.5840,0.8660,0.3677,0.7923,0.5772,1.0000,0.4117,0.8017,0.6958,0.9024
ResNet50,SVM_C0.1,ANOVA200_PCA10,0.7250,0.5862,0.8039,0.6071,0.7471,17,41,10,12,0.5951,0.8549,0.4072,0.7661,0.4993,1.0000,0.5480,0.6788,0.6730,0.9173
ResNet50,LDA,PCA10,0.7250,0.5862,0.8039,0.6071,0.7153,17,41,10,12,0.6365,0.8135,0.4828,0.6906,0.6597,0.9512,0.5092,0.7090,0.6312,0.8239
DenseNet121,LogReg_C0.1,ANOVA100_PCA5,0.7250,0.5517,0.8235,0.5926,0.7465,16,42,9,13,0.6209,0.8291,0.2200,0.8733,0.7697,0.8775,0.3334,0.7975,0.6059,0.8759
ResNet50,SVM_C1,ANOVA100_PCA10,0.7250,0.5517,0.8235,0.5926,0.7343,16,42,9,13,0.6556,0.7944,0.3255,0.7812,0.6086,1.0000,0.4893,0.6804,0.6485,0.9424
DenseNet121,LogReg_C0.1,ANOVA10,0.7250,0.5517,0.8235,0.5926,0.7268,16,42,9,13,0.5641,0.8859,0.2200,0.8733,0.7151,0.9285,0.3059,0.8405,0.5504,0.8781
ResNet50,SVM_C0.1,PCA5,0.7250,0.5172,0.8431,0.5769,0.7444,15,43,8,14,0.6209,0.8291,0.1923,0.8211,0.6566,1.0000,0.3028,0.7992,0.7103,0.9079
ResNet50,AdaBoost_100,ANOVA20,0.7250,0.5172,0.8431,0.5769,0.6849,15,43,8,14,0.5840,0.8660,0.2332,0.7934,0.5835,1.0000,0.3179,0.7964,0.5215,0.9009
DenseNet121,SVM_linear_C0.1,ANOVA10,0.7250,0.4828,0.8627,0.5600,0.7539,14,44,7,15,0.6556,0.7944,0.2657,0.6943,0.8013,0.9260,0.3717,0.7192,0.6326,0.8437
ResNet50,SVM_C1,PCA10,0.7250,0.4828,0.8627,0.5600,0.7410,14,44,7,15,0.6825,0.7675,0.2205,0.7395,0.6993,1.0000,0.4125,0.6692,0.6415,0.9428
ResNet50,RF_100,ANOVA20,0.7250,0.4483,0.8824,0.5417,0.6812,13,45,6,16,0.6073,0.8427,0.1367,0.7433,0.7194,1.0000,0.2236,0.7917,0.5122,0.9178
ResNet50,SVM_linear_C0.1,ANOVA100_PCA10,0.7250,0.4138,0.9020,0.5217,0.7079,12,46,5,17,0.6365,0.8135,0.1622,0.6778,0.7848,1.0000,0.2898,0.7154,0.5703,0.8667
DenseNet121,SVM_linear_C1,ANOVA10,0.7250,0.3793,0.9216,0.5000,0.7776,11,47,4,18,0.6365,0.8135,0.1108,0.6492,0.8673,0.9763,0.2194,0.7258,0.6637,0.8975
DenseNet121,SVM_linear_C0.1,PCA10,0.7250,0.3448,0.9412,0.4762,0.7167,10,48,3,19,0.6365,0.8135,0.1428,0.5372,0.8757,1.0000,0.2295,0.6914,0.5778,0.8501
DenseNet121,SVM_linear_C0.1,ANOVA100_PCA10,0.7250,0.3448,0.9412,0.4762,0.7113,10,48,3,19,0.6365,0.8135,0.1428,0.5372,0.8413,1.0000,0.2295,0.6914,0.5382,0.9199
DenseNet121,SVM_linear_C0.1,ANOVA200_PCA10,0.7250,0.3103,0.9608,0.4500,0.6937,9,49,2,20,0.6556,0.7944,0.2326,0.3807,0.8627,1.0000,0.3112,0.5888,0.5444,0.8731
DenseNet121,SVM_linear_C1,PCA5,0.7250,0.3103,0.9608,0.4500,0.6829,9,49,2,20,0.6365,0.8135,0.0000,0.6069,0.8968,1.0000,0.0625,0.7427,0.6216,0.7729
DenseNet121,SVM_linear_C1,ANOVA200_PCA5,0.7250,0.2759,0.9804,0.4211,0.7025,8,50,1,21,0.5951,0.8549,0.0000,0.6130,0.9313,1.0000,0.0000,0.7955,0.4867,0.8739
ResNet50,LogReg_C10,ANOVA200_PCA5,0.7125,0.6897,0.7255,0.6349,0.7329,20,37,14,9,0.5612,0.8638,0.5293,0.8573,0.5642,0.8868,0.4695,0.8103,0.5896,0.8662
ResNet50,LogReg_C10,ANOVA100_PCA5,0.7125,0.6552,0.7451,0.6230,0.7343,19,38,13,10,0.5516,0.8734,0.4628,0.8572,0.5685,0.9260,0.4201,0.8358,0.5930,0.8718
DenseNet121,LogReg_C1,ANOVA200_PCA5,0.7125,0.5862,0.7843,0.5965,0.7437,17,40,11,12,0.6084,0.8166,0.2836,0.8764,0.6888,0.8821,0.3626,0.7909,0.6472,0.8679
DenseNet121,LogReg_C1,ANOVA100_PCA5,0.7125,0.5862,0.7843,0.5965,0.7255,17,40,11,12,0.6084,0.8166,0.2836,0.8764,0.6888,0.8821,0.3626,0.7909,0.5924,0.8628
DenseNet121,LogReg_C10,ANOVA20,0.7125,0.5517,0.8039,0.5818,0.7539,16,41,10,13,0.6084,0.8166,0.2826,0.8241,0.7153,0.8920,0.3679,0.7688,0.6508,0.9123
DenseNet121,GBM_200,ANOVA10,0.7125,0.5517,0.8039,0.5818,0.7120,16,41,10,13,0.5715,0.8535,0.2939,0.7994,0.6071,1.0000,0.3587,0.7912,0.4923,0.8835
DenseNet121,GBM_100,ANOVA20,0.7125,0.5172,0.8235,0.5660,0.7208,15,42,9,14,0.6700,0.7550,0.1973,0.8294,0.6400,1.0000,0.3275,0.7379,0.5933,0.8710
DenseNet121,SVM_C0.1,ANOVA100_PCA5,0.7125,0.5172,0.8235,0.5660,0.7059,15,42,9,14,0.5826,0.8424,0.1923,0.8211,0.6400,1.0000,0.2721,0.8146,0.6268,0.8829
DenseNet121,SVM_C0.1,ANOVA200_PCA5,0.7125,0.5172,0.8235,0.5660,0.7011,15,42,9,14,0.5826,0.8424,0.1923,0.8211,0.6400,1.0000,0.2721,0.8146,0.6169,0.8855
DenseNet121,AdaBoost_100,ANOVA20,0.7125,0.5172,0.8235,0.5660,0.6924,15,42,9,14,0.6700,0.7550,0.3246,0.7021,0.7206,0.9267,0.4261,0.6823,0.5932,0.8087
DenseNet121,SVM_C0.1,ANOVA20,0.7125,0.4828,0.8431,0.5490,0.7512,14,43,8,15,0.6700,0.7550,0.3235,0.6365,0.7347,0.9526,0.4313,0.6504,0.7180,0.8541
DenseNet121,LDA,ANOVA200_PCA5,0.7125,0.4828,0.8431,0.5490,0.7505,14,43,8,15,0.6240,0.8010,0.2205,0.7395,0.7347,0.9526,0.3534,0.7102,0.6246,0.8785
DenseNet121,LogReg_C0.1,ANOVA20,0.7125,0.4828,0.8431,0.5490,0.7336,14,43,8,15,0.6240,0.8010,0.2657,0.6943,0.7791,0.9082,0.3514,0.7217,0.5536,0.9016
ResNet50,GBM_100,PCA10,0.7125,0.4828,0.8431,0.5490,0.7262,14,43,8,15,0.5948,0.8302,0.2478,0.7255,0.7791,0.9082,0.3040,0.7740,0.5981,0.8316
DenseNet121,SVM_C0.1,PCA5,0.7125,0.4828,0.8431,0.5490,0.7214,14,43,8,15,0.5826,0.8424,0.1443,0.8024,0.6370,1.0000,0.2545,0.7922,0.6347,0.9011
DenseNet121,LogReg_C0.1,ANOVA200_PCA10,0.7125,0.4828,0.8431,0.5490,0.6971,14,43,8,15,0.5516,0.8734,0.1481,0.8119,0.7347,0.9526,0.2170,0.8305,0.5439,0.8524
DenseNet121,LDA,PCA10,0.7125,0.4483,0.8627,0.5306,0.7147,13,44,7,16,0.5948,0.8302,0.1032,0.7768,0.7560,0.9713,0.2003,0.7922,0.5142,0.8700
DenseNet121,SVM_C0.1,ANOVA200_PCA10,0.7125,0.4483,0.8627,0.5306,0.6836,13,44,7,16,0.6240,0.8010,0.1367,0.7433,0.6577,1.0000,0.2896,0.7215,0.6200,0.8775
DenseNet121,LDA,ANOVA200_PCA10,0.7125,0.4138,0.8824,0.5106,0.6944,12,45,6,17,0.6700,0.7550,0.1818,0.6449,0.7514,1.0000,0.3149,0.6620,0.5509,0.8000
ResNet50,SVM_linear_C0.1,ANOVA10,0.7125,0.4138,0.8824,0.5106,0.6809,12,45,6,17,0.5715,0.8535,0.0686,0.7447,0.7452,1.0000,0.1772,0.7702,0.5194,0.8933
ResNet50,SVM_linear_C0.1,PCA10,0.7125,0.3793,0.9020,0.4889,0.7228,11,46,5,18,0.6240,0.8010,0.0931,0.6802,0.7848,1.0000,0.2150,0.7045,0.6230,0.8327
DenseNet121,LDA,ANOVA100_PCA10,0.7125,0.3793,0.9020,0.4889,0.7011,11,46,5,18,0.6431,0.7819,0.1108,0.6492,0.7848,1.0000,0.2257,0.6898,0.4713,0.8662
DenseNet121,SVM_linear_C1,ANOVA200_PCA10,0.7125,0.2414,0.9804,0.3784,0.6613,7,50,1,22,0.6431,0.7819,0.0482,0.4184,0.9313,1.0000,0.0838,0.6305,0.5049,0.8448
DenseNet121,GBM_100,ANOVA10,0.7000,0.5517,0.7843,0.5714,0.7055,16,40,11,13,0.5725,0.8275,0.2939,0.7994,0.5850,0.9859,0.3549,0.7695,0.5283,0.8465
ResNet50,SVM_C1,ANOVA200_PCA10,0.7000,0.5172,0.8039,0.5556,0.7336,15,41,10,14,0.6351,0.7649,0.2605,0.7795,0.5456,1.0000,0.4798,0.6066,0.6404,0.9348
ResNet50,SVM_C1,ANOVA200_PCA5,0.7000,0.4828,0.8235,0.5385,0.7390,14,42,9,15,0.6351,0.7649,0.2066,0.7668,0.6086,1.0000,0.4025,0.6424,0.6520,0.9517
DenseNet121,LogReg_C0.1,PCA10,0.7000,0.4828,0.8235,0.5385,0.7187,14,42,9,15,0.5318,0.8682,0.1132,0.8334,0.6981,0.9528,0.1653,0.8479,0.5365,0.8841
DenseNet121,GBM_200,ANOVA20,0.7000,0.4828,0.8235,0.5385,0.7045,14,42,9,15,0.6150,0.7850,0.0889,0.8711,0.6708,0.9801,0.1137,0.8387,0.5790,0.8355
ResNet50,AdaBoost_100,ANOVA10,0.7000,0.4828,0.8235,0.5385,0.6673,14,42,9,15,0.5318,0.8682,0.2657,0.6943,0.6581,0.9855,0.3103,0.7649,0.5594,0.8024
ResNet50,RF_100,ANOVA100_PCA5,0.7000,0.4828,0.8235,0.5385,0.6552,14,42,9,15,0.5849,0.8151,0.2151,0.7716,0.6981,0.9528,0.3033,0.7553,0.5425,0.7754
ResNet50,SVM_linear_C0.1,ANOVA20,0.7000,0.4483,0.8431,0.5200,0.6653,13,43,8,16,0.5507,0.8493,0.1389,0.7545,0.6739,1.0000,0.2364,0.7567,0.4757,0.8770
DenseNet121,RF_100,ANOVA10,0.7000,0.4138,0.8627,0.5000,0.7326,12,44,7,17,0.6150,0.7850,0.1818,0.6449,0.7247,1.0000,0.2797,0.6887,0.5723,0.9456
DenseNet121,SVM_C0.1,ANOVA100_PCA10,0.7000,0.4138,0.8627,0.5000,0.6748,12,44,7,17,0.6351,0.7649,0.1020,0.7114,0.6577,1.0000,0.2865,0.6580,0.6033,0.8676
DenseNet121,SVM_linear_C0.1,ANOVA20,0.7000,0.3793,0.8824,0.4783,0.7539,11,45,6,18,0.5988,0.8012,0.0736,0.6864,0.8248,0.9388,0.1171,0.7673,0.6561,0.8536
ResNet50,SVM_linear_C0.1,ANOVA100_PCA5,0.7000,0.3793,0.8824,0.4783,0.7390,11,45,6,18,0.5725,0.8275,0.2146,0.5320,0.7249,1.0000,0.2646,0.6875,0.5949,0.8979
DenseNet121,RF_100,ANOVA20,0.7000,0.3793,0.8824,0.4783,0.7001,11,45,6,18,0.5988,0.8012,0.0736,0.6864,0.8248,0.9388,0.1171,0.7673,0.5444,0.8126
DenseNet121,SVM_C0.1,PCA10,0.7000,0.3793,0.8824,0.4783,0.6924,11,45,6,18,0.6351,0.7649,0.1575,0.5892,0.7249,1.0000,0.2958,0.6282,0.6196,0.8907
ResNet50,SVM_linear_C0.1,ANOVA200_PCA10,0.7000,0.3793,0.8824,0.4783,0.6836,11,45,6,18,0.5849,0.8151,0.0931,0.6802,0.7249,1.0000,0.2035,0.7014,0.5647,0.8511
